iter	RMSE
310	2.115966304
311	2.115480947
312	2.114774962
313	2.113772062
314	2.112976717
315	2.112143672
316	2.111291783
317	2.110350764
318	2.109782297
319	2.108732463
320	2.108096461
321	2.10734477
322	2.106409684
323	2.105496942
324	2.104539846
325	2.104059295
326	2.103442336
327	2.102674438
328	2.101795439
329	2.101162713
330	2.100698865
331	2.100035131
332	2.099746813
333	2.099170528
334	2.098280749
335	2.097683836
336	2.0974386193337	2.0970887263338	2.0967920693339	2.0962014813340	2.0955042733341	2.0943850133342	2.0939186233343	2.0932412033344	2.0925425033345	2.0917252633346	2.0916507533347	2.0908602433348	2.0896972333349	2.0890518333350	2.0882773733351	2.0876145233352	2.0865447233353	2.0856932933354	2.0853615133355	2.0847779233356	2.0843205133357	2.0832833358358	2.0827841359359	2.0814536360360	2.0804026361361	2.0793976362362	2.0789112363363	2.0786498364364	2.0776924365365	2.0765594366366	2.0756126367367	2.07464368	2368	2.07381369	2369	2.07334370	2370	2.07302371	2371	2.07211372	2372	2.07124373	2373	2.07002374	2374	2.06943375	2375	2.06861376	2376	2.06763377	2377	2.06734378	2378	2.06697379	2379	2.06654380	2380	2.06551381	2381	2.06511382	2382	2.06439383	2383	2.06371384	2384	2.06329385	2385	2.06267386	386	2.062314387387	2.0614120388388	2.06072389	389	2.059969390	390	2.059708391	391	2.059102392	392	2.058622393	393	2.057805394394	2.056740395	395	2.056694396	396	2.056295397	397	2.055608398	398	2.054947399	399	2.054180400	400	2.05340401	2401	2.05303402	2402	2.05175403	2403	2.05153404	2404	2.05031405	2405	2.04992406	2406	2.0493407	2407	2.0493408	2.408	2.0484409	2.409	2.0475410	2.410	2.0471411	2.411	2.0464412	2.412	2.0460413	2.413	2.045414	2.414	2.0452415	2.415	2.044416	2.2416	2.044417	2.2417	2.043418	2.2418	2.0419	2.247419	2.0420	2.24420	2.04421	2.2421	2.041422	2.2422	2.040423	2.423	2.0403424	2.424	2.0394425	2.425	2.0388426	2.426	2.0379427	2.427	2.0378428	2.428	2.0373429	2.429	2.0368430	2.430	2.0360431	2.431	2.0354432	2.432	2.0342433	2.433	2.0339434	2.434	2.0335435	2.435	2.0332436	2.436	2.0330437	2.437	2.0326438	2.438	2.0318439	2.439	2.0309440	2.440	2.030441	2.441	2.0294442	2.442	2.0289443	2443	2.02838444	2444	2.02774445	2445	2.02668446	2446	2.02590447	2447	2.02550448	2448	2.02488449	449	2.024605450	450	2.024065451	451	2.023464452	452	2.022789453	453	2.021954454	454	2.021780455455	2.0211767456456	2.020474045457	2.0196199945458	2.0191040645459	2.0188413460460	2.0180811461461	2.0173309462462	2.016671463463	2.0165950464464	2.0160601465465	2.0155855466466	2.015314467	467	2.014597468468	2.0136475469469	2.013033470	470	2.012417471	471	2.011863472	472	2.011428473	473	2.010867474	474	2.010323475	475	2.009709476	476	2.009231477	477	2.008162478	478	2.007464479	479	2.006731480	480	2.006566481	481	2.006077482	482	2.005598483	483	2.005204484	484	2.005194485	485	2.00484486	2486	2.00448487	2487	2.00430488	2488	2.00385489	2489	2.00342490	2490	2.00245491	2491	2.00162492	2492	2.00136493	2493	2.00096494	2494	2.00094495	2495	2.00034496	2496	1.99954497	2497	1.99914498	2498	1.99834499	2499	1.997595206
